INDEX_NUMBER, BRAND
 0,G.SKILL Ripjaws Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9D-8GBRL
1,Patriot Viper Steel 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Intel XMP 2.0 Desktop Memory Model PVS416G400C9K
2,G.SKILL Aegis 16GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16S-16GIS
3,G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-16GVK
4,Sapphire Pulse RX 5600 XT BE 6GB GDDR6 PCI-E DUAL HDMI / DUAL DP OC w/ Backplate (UEFI)
5,ASUS ROG Strix GeForce GTX 1660 SUPER Advanced 6GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1660S-A6G-GAMING)
6,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card PCIe 3.0 8GB 256-Bit GDDR5 GV-RX580GAMING-8GD REV2.0 Video Card
7,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card
8,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING)
9,GIGABYTE Radeon RX 5600 XT WINDFORCE OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-R56XTWF2OC-6GD Video Card
10,GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTAORUS-8GD Video Card
11,GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N208SGAMINGOC WHITE-8GD Video Card
12,ASUS GeForce GTX 1660 SUPER Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660S-O6G)
13,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card (PH-GTX1650-O4G)
14,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTGAMING OC-8GD Video Card
15,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO)
16,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO)
17,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING)
18,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660OC-6GD Video Card
19,GIGABYTE GeForce GTX 1650 MINI ITX OC 4G Graphics Card Mini ITX Form Factor 4GB 128-Bit GDDR5 GV-N1650IXOC-4GD Video Card
20,EVGA GeForce RTX 2060 XC GAMING 6GB GDDR6 HDB Fan Graphics Card 06G-P4-2063-KR
21,ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING)
22,ASUS ROG STRIX AMD Radeon RX 5500 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5500XT-O8G-GAMING)
